,index,Co,Ce,Nb,Max,labels,hue
0,154115.0,0.05000000074505806,0.05000000074505806,0.8999999761581421,2.8302272555934014,1,0.3180537720521291
1,154118.0,0.05000000074505806,0.10000000149011612,0.8500000238418579,2.8616831019277202,1,0.339427371819814
2,154119.0,0.10000000149011612,0.05000000074505806,0.8500000238418579,2.8323290875204488,1,0.31343139211336773
3,154122.0,0.05000000074505806,0.15000000596046448,0.800000011920929,2.859298650986988,1,0.31588368614514667
4,154123.0,0.10000000149011612,0.10000000149011612,0.800000011920929,2.857610326181768,1,0.3158688147862752
5,154124.0,0.15000000596046448,0.05000000074505806,0.800000011920929,2.8502248575057365,1,0.3095078965028127
6,154128.0,0.05000000074505806,0.20000000298023224,0.75,2.8650447677410082,1,0.3039495050907135
7,154129.0,0.10000000149011612,0.15000000596046448,0.75,2.871992419373721,1,0.31582743922869366
8,154130.0,0.15000000596046448,0.10000000149011612,0.75,2.827411312879991,1,0.31417473157246906
9,154131.0,0.20000000298023224,0.05000000074505806,0.75,2.824310289422008,1,0.3021605412165324
10,154134.0,0.05000000074505806,0.25,0.699999988079071,2.8391823195481103,1,0.3033316632111867
11,154135.0,0.10000000149011612,0.20000000298023224,0.699999988079071,2.8233676691231473,1,0.30646494030952454
12,154136.0,0.15000000596046448,0.15000000596046448,0.699999988079071,2.844338500433835,1,0.2948485215504964
13,154137.0,0.20000000298023224,0.10000000149011612,0.699999988079071,2.8093508491600137,1,0.2905018627643585
14,154138.0,0.25,0.05000000074505806,0.699999988079071,2.8204627743533535,1,0.29355424642562866
15,154142.0,0.05000000074505806,0.30000001192092896,0.6499999761581421,2.764904863095182,1,0.27348532279332477
16,154143.0,0.10000000149011612,0.25,0.6499999761581421,2.8079582625009416,1,0.2794718345006307
17,154144.0,0.15000000596046448,0.20000000298023224,0.6499999761581421,2.795829020835506,1,0.2845058838526408
18,154145.0,0.20000000298023224,0.15000000596046448,0.6499999761581421,2.8305610675627513,1,0.2808408737182617
19,154146.0,0.25,0.10000000149011612,0.6499999761581421,2.8014318677204266,1,0.27035143971443176
20,154147.0,0.30000001192092896,0.05000000074505806,0.6499999761581421,2.802755156695801,1,0.28565072019894916
21,154150.0,0.05000000074505806,0.3499999940395355,0.6000000238418579,2.7289625807155247,1,0.25869206587473553
22,154151.0,0.10000000149011612,0.30000001192092896,0.6000000238418579,2.7351127507406425,1,0.251109520594279
23,154152.0,0.15000000596046448,0.25,0.6000000238418579,2.7801327270737386,1,0.2536133627096812
24,154153.0,0.20000000298023224,0.20000000298023224,0.6000000238418579,2.747243347268507,1,0.2605725626150767
25,154154.0,0.25,0.15000000596046448,0.6000000238418579,2.7902210345598917,1,0.24877560138702393
26,154156.0,0.30000001192092896,0.10000000149011612,0.6000000238418579,2.8134349709569864,1,0.2542869746685028
27,154157.0,0.3499999940395355,0.05000000074505806,0.6000000238418579,2.7414734035066397,1,0.2648223241170247
28,154160.0,0.05000000074505806,0.4000000059604645,0.550000011920929,2.6475794993994204,1,0.2437862604856491
29,154161.0,0.10000000149011612,0.3499999940395355,0.550000011920929,2.6529956946754485,1,0.24511732161045074
30,154162.0,0.15000000596046448,0.30000001192092896,0.550000011920929,2.67890182654573,1,0.24924982090791067
31,154163.0,0.20000000298023224,0.25,0.550000011920929,2.6922242233388225,1,0.24863415459791818
32,154164.0,0.25,0.20000000298023224,0.550000011920929,2.657811676219294,1,0.23409431179364523
33,154165.0,0.30000001192092896,0.15000000596046448,0.550000011920929,2.6035362091571788,1,0.2503338158130646
34,154166.0,0.3499999940395355,0.10000000149011612,0.550000011920929,2.5437985973742356,1,0.25622206926345825
35,154167.0,0.4000000059604645,0.05000000074505806,0.550000011920929,2.6762998179863913,1,0.2676381468772888
36,154171.0,0.05000000074505806,0.44999998807907104,0.5,2.4067580920958127,2,0.23963317275047302
37,154172.0,0.10000000149011612,0.4000000059604645,0.5,2.5830756926023715,1,0.2241750160853068
38,154173.0,0.15000000596046448,0.3499999940395355,0.5,2.64890645155727,1,0.21003704766432443
39,154174.0,0.20000000298023224,0.30000001192092896,0.5,2.6138761564621116,1,0.20604421943426132
40,154175.0,0.25,0.25,0.5,2.579696043492901,1,0.19842339803775152
41,154176.0,0.30000001192092896,0.20000000298023224,0.5,2.5862687427046067,1,0.2033302610119184
42,154177.0,0.3499999940395355,0.15000000596046448,0.5,2.5382768170905976,1,0.2119963119427363
43,154178.0,0.4000000059604645,0.10000000149011612,0.5,2.538055605896539,1,0.22879791259765625
44,154179.0,0.44999998807907104,0.05000000074505806,0.5,2.5782733510059255,1,0.21693519254525503
45,154182.0,0.05000000074505806,0.5,0.44999998807907104,2.485908449692253,2,0.22176838914553323
46,154183.0,0.10000000149011612,0.44999998807907104,0.44999998807907104,2.4580262046983297,2,0.21922247111797333
47,154184.0,0.15000000596046448,0.4000000059604645,0.44999998807907104,2.614673085346806,1,0.21471535166104636
48,154185.0,0.20000000298023224,0.3499999940395355,0.44999998807907104,2.650330655059598,1,0.2050276348988215
49,154186.0,0.25,0.30000001192092896,0.44999998807907104,2.591886673145893,1,0.18891669809818268
50,154187.0,0.30000001192092896,0.25,0.44999998807907104,2.647069921662277,1,0.1898611585299174
51,154188.0,0.3499999940395355,0.20000000298023224,0.44999998807907104,2.5214650633840896,1,0.1850564442574978
52,154189.0,0.4000000059604645,0.15000000596046448,0.44999998807907104,2.587003681821028,1,0.1894549479087194
53,154190.0,0.44999998807907104,0.10000000149011612,0.44999998807907104,2.3510689771027646,1,0.1948836346467336
