,index,Mn,W,In,Max
0,23986.0,0.05000000074505806,0.05000000074505806,0.05000000074505806,0.0744723305106163
1,23990.0,0.10000000149011612,0.05000000074505806,0.05000000074505806,0.09820791333913803
2,23991.0,0.05000000074505806,0.10000000149011612,0.05000000074505806,0.07993932068347931
3,23994.0,0.15000000596046448,0.05000000074505806,0.05000000074505806,0.13879181444644928
4,23995.0,0.10000000149011612,0.10000000149011612,0.05000000074505806,0.0784333124756813
5,23996.0,0.05000000074505806,0.15000000596046448,0.05000000074505806,0.04166211560368538
6,23999.0,0.20000000298023224,0.05000000074505806,0.05000000074505806,0.13641630113124847
7,24000.0,0.15000000596046448,0.10000000149011612,0.05000000074505806,0.093695268034935
8,24001.0,0.10000000149011612,0.15000000596046448,0.05000000074505806,0.04487863928079605
9,24002.0,0.05000000074505806,0.20000000298023224,0.05000000074505806,0.034290555864572525
10,24006.0,0.25,0.05000000074505806,0.05000000074505806,0.16968797147274017
11,24007.0,0.20000000298023224,0.10000000149011612,0.05000000074505806,0.13881266117095947
12,24008.0,0.15000000596046448,0.15000000596046448,0.05000000074505806,0.08532998710870743
13,24009.0,0.10000000149011612,0.20000000298023224,0.05000000074505806,0.06596602499485016
14,24010.0,0.05000000074505806,0.25,0.05000000074505806,0.05645262449979782
15,24013.0,0.30000001192092896,0.05000000074505806,0.05000000074505806,0.14041092991828918
16,24014.0,0.25,0.10000000149011612,0.05000000074505806,0.10910630226135254
17,24015.0,0.20000000298023224,0.15000000596046448,0.05000000074505806,0.0840422511100769
18,24016.0,0.15000000596046448,0.20000000298023224,0.05000000074505806,0.07838752120733261
19,24017.0,0.10000000149011612,0.25,0.05000000074505806,0.05456489697098732
20,24018.0,0.05000000074505806,0.30000001192092896,0.05000000074505806,0.06029374152421951
21,24021.0,0.3499999940395355,0.05000000074505806,0.05000000074505806,0.2004787027835846
22,24022.0,0.30000001192092896,0.10000000149011612,0.05000000074505806,0.13022924959659576
23,24023.0,0.25,0.15000000596046448,0.05000000074505806,0.10461418330669403
24,24024.0,0.20000000298023224,0.20000000298023224,0.05000000074505806,0.08757364749908447
25,24025.0,0.15000000596046448,0.25,0.05000000074505806,0.07176021486520767
26,24026.0,0.10000000149011612,0.30000001192092896,0.05000000074505806,0.057342249900102615
27,24027.0,0.05000000074505806,0.3499999940395355,0.05000000074505806,0.041844576597213745
28,24030.0,0.4000000059604645,0.05000000074505806,0.05000000074505806,0.18410515785217285
29,24031.0,0.3499999940395355,0.10000000149011612,0.05000000074505806,0.1462048441171646
30,24032.0,0.30000001192092896,0.15000000596046448,0.05000000074505806,0.15117283165454865
31,24033.0,0.25,0.20000000298023224,0.05000000074505806,0.15575841069221497
32,24034.0,0.20000000298023224,0.25,0.05000000074505806,0.13159841299057007
33,24035.0,0.15000000596046448,0.30000001192092896,0.05000000074505806,0.10182295739650726
34,24036.0,0.10000000149011612,0.3499999940395355,0.05000000074505806,0.07473671436309814
35,24037.0,0.05000000074505806,0.4000000059604645,0.05000000074505806,0.10571635514497757
36,24040.0,0.44999998807907104,0.05000000074505806,0.05000000074505806,0.192755326628685
37,24041.0,0.4000000059604645,0.10000000149011612,0.05000000074505806,0.17237891256809235
38,24042.0,0.3499999940395355,0.15000000596046448,0.05000000074505806,0.14100302755832672
39,24043.0,0.30000001192092896,0.20000000298023224,0.05000000074505806,0.12785495817661285
40,24044.0,0.25,0.25,0.05000000074505806,0.09770748764276505
41,24045.0,0.20000000298023224,0.30000001192092896,0.05000000074505806,0.0695924237370491
42,24046.0,0.15000000596046448,0.3499999940395355,0.05000000074505806,0.061357058584690094
43,24047.0,0.10000000149011612,0.4000000059604645,0.05000000074505806,0.0659797191619873
44,24048.0,0.05000000074505806,0.44999998807907104,0.05000000074505806,0.15079011023044586
45,24051.0,0.5,0.05000000074505806,0.05000000074505806,0.17894601821899414
46,24052.0,0.44999998807907104,0.10000000149011612,0.05000000074505806,0.1596653014421463
47,24053.0,0.4000000059604645,0.15000000596046448,0.05000000074505806,0.14637796580791473
48,24055.0,0.3499999940395355,0.20000000298023224,0.05000000074505806,0.1328975409269333
49,24056.0,0.30000001192092896,0.25,0.05000000074505806,0.10917191952466965
50,24057.0,0.25,0.30000001192092896,0.05000000074505806,0.0624394454061985
51,24058.0,0.20000000298023224,0.3499999940395355,0.05000000074505806,0.05092142894864082
52,24059.0,0.15000000596046448,0.4000000059604645,0.05000000074505806,0.054611992090940475
53,24060.0,0.10000000149011612,0.44999998807907104,0.05000000074505806,0.11962863802909851
54,24061.0,0.05000000074505806,0.5,0.05000000074505806,0.14055940508842468
55,24064.0,0.550000011920929,0.05000000074505806,0.05000000074505806,0.23721782863140106
56,24065.0,0.5,0.10000000149011612,0.05000000074505806,0.18127505481243134
57,24066.0,0.44999998807907104,0.15000000596046448,0.05000000074505806,0.15277069807052612
58,24067.0,0.4000000059604645,0.20000000298023224,0.05000000074505806,0.1265120953321457
59,24068.0,0.3499999940395355,0.25,0.05000000074505806,0.10104794055223465
60,24070.0,0.30000001192092896,0.30000001192092896,0.05000000074505806,0.06635655462741852
61,24071.0,0.25,0.3499999940395355,0.05000000074505806,0.04044097661972046
62,24072.0,0.20000000298023224,0.4000000059604645,0.05000000074505806,0.0510893315076828
63,24073.0,0.15000000596046448,0.44999998807907104,0.05000000074505806,0.09227054566144943
64,24074.0,0.10000000149011612,0.5,0.05000000074505806,0.11921964585781097
65,24075.0,0.05000000074505806,0.550000011920929,0.05000000074505806,0.1398157775402069
