,index,Sb,Nb,Bi,Max
0,49172.0,0.05000000074505806,0.05000000074505806,0.8999999761581421,0.15677209198474884
1,49174.0,0.05000000074505806,0.05000000074505806,0.8500000238418579,0.08989046514034271
2,49175.0,0.05000000074505806,0.10000000149011612,0.8500000238418579,0.11696366965770721
3,49178.0,0.05000000074505806,0.05000000074505806,0.800000011920929,0.04323253780603409
4,49179.0,0.05000000074505806,0.10000000149011612,0.800000011920929,0.05867893621325493
5,49180.0,0.05000000074505806,0.15000000596046448,0.800000011920929,0.09711788594722748
6,49182.0,0.05000000074505806,0.05000000074505806,0.75,0.07297047972679138
7,49183.0,0.05000000074505806,0.10000000149011612,0.75,0.05923301726579666
8,49184.0,0.05000000074505806,0.15000000596046448,0.75,0.07221002876758575
9,49185.0,0.05000000074505806,0.20000000298023224,0.75,0.0728902518749237
10,49187.0,0.05000000074505806,0.05000000074505806,0.699999988079071,0.09677883982658386
11,49188.0,0.05000000074505806,0.10000000149011612,0.699999988079071,0.08183521777391434
12,49189.0,0.05000000074505806,0.15000000596046448,0.699999988079071,0.06377308815717697
13,49190.0,0.05000000074505806,0.20000000298023224,0.699999988079071,0.06773258745670319
14,49191.0,0.05000000074505806,0.25,0.699999988079071,0.07321133464574814
15,49194.0,0.05000000074505806,0.05000000074505806,0.6499999761581421,0.13433276116847992
16,49195.0,0.05000000074505806,0.10000000149011612,0.6499999761581421,0.11972685158252716
17,49196.0,0.05000000074505806,0.15000000596046448,0.6499999761581421,0.08283281326293945
18,49197.0,0.05000000074505806,0.20000000298023224,0.6499999761581421,0.07200253009796143
19,49198.0,0.05000000074505806,0.25,0.6499999761581421,0.06863997131586075
20,49199.0,0.05000000074505806,0.30000001192092896,0.6499999761581421,0.06261000037193298
21,49201.0,0.05000000074505806,0.05000000074505806,0.6000000238418579,0.14977023005485535
22,49202.0,0.05000000074505806,0.10000000149011612,0.6000000238418579,0.14519082009792328
23,49203.0,0.05000000074505806,0.15000000596046448,0.6000000238418579,0.13004012405872345
24,49204.0,0.05000000074505806,0.20000000298023224,0.6000000238418579,0.08158554136753082
25,49205.0,0.05000000074505806,0.25,0.6000000238418579,0.0704856589436531
26,49206.0,0.05000000074505806,0.30000001192092896,0.6000000238418579,0.06230221688747406
27,49207.0,0.05000000074505806,0.3499999940395355,0.6000000238418579,0.07710038870573044
28,49209.0,0.05000000074505806,0.05000000074505806,0.550000011920929,0.15526767075061798
29,49210.0,0.05000000074505806,0.10000000149011612,0.550000011920929,0.15519073605537415
30,49211.0,0.05000000074505806,0.15000000596046448,0.550000011920929,0.1479347050189972
31,49212.0,0.05000000074505806,0.20000000298023224,0.550000011920929,0.12109297513961792
32,49213.0,0.05000000074505806,0.25,0.550000011920929,0.08468775451183319
33,49214.0,0.05000000074505806,0.30000001192092896,0.550000011920929,0.07033006101846695
34,49215.0,0.05000000074505806,0.3499999940395355,0.550000011920929,0.04858480766415596
35,49216.0,0.05000000074505806,0.4000000059604645,0.550000011920929,0.06742600351572037
36,49218.0,0.05000000074505806,0.05000000074505806,0.5,0.1800536960363388
37,49219.0,0.05000000074505806,0.10000000149011612,0.5,0.16418370604515076
38,49220.0,0.05000000074505806,0.15000000596046448,0.5,0.15168389678001404
39,49221.0,0.05000000074505806,0.20000000298023224,0.5,0.18246953189373016
40,49222.0,0.05000000074505806,0.25,0.5,0.15524768829345703
41,49223.0,0.05000000074505806,0.30000001192092896,0.5,0.1270619034767151
42,49224.0,0.05000000074505806,0.3499999940395355,0.5,0.10164416581392288
43,49225.0,0.05000000074505806,0.4000000059604645,0.5,0.09336268901824951
44,49226.0,0.05000000074505806,0.44999998807907104,0.5,0.11768447607755661
45,49228.0,0.05000000074505806,0.05000000074505806,0.44999998807907104,0.2328587919473648
46,49229.0,0.05000000074505806,0.10000000149011612,0.44999998807907104,0.24485138058662415
47,49230.0,0.05000000074505806,0.15000000596046448,0.44999998807907104,0.20999787747859955
48,49231.0,0.05000000074505806,0.20000000298023224,0.44999998807907104,0.19597171247005463
49,49232.0,0.05000000074505806,0.25,0.44999998807907104,0.18237079679965973
50,49233.0,0.05000000074505806,0.30000001192092896,0.44999998807907104,0.14743444323539734
51,49234.0,0.05000000074505806,0.3499999940395355,0.44999998807907104,0.11862105131149292
52,49235.0,0.05000000074505806,0.4000000059604645,0.44999998807907104,0.09835661947727203
53,49236.0,0.05000000074505806,0.44999998807907104,0.44999998807907104,0.08680843561887741
54,49237.0,0.05000000074505806,0.5,0.44999998807907104,0.10395698994398117
55,49239.0,0.05000000074505806,0.05000000074505806,0.4000000059604645,0.21082645654678345
56,49240.0,0.05000000074505806,0.10000000149011612,0.4000000059604645,0.21288062632083893
57,49241.0,0.05000000074505806,0.15000000596046448,0.4000000059604645,0.22784093022346497
58,49243.0,0.05000000074505806,0.20000000298023224,0.4000000059604645,0.2150648683309555
59,49244.0,0.05000000074505806,0.25,0.4000000059604645,0.19812354445457458
60,49245.0,0.05000000074505806,0.30000001192092896,0.4000000059604645,0.19624513387680054
61,49246.0,0.05000000074505806,0.3499999940395355,0.4000000059604645,0.14570043981075287
62,49247.0,0.05000000074505806,0.4000000059604645,0.4000000059604645,0.1294577270746231
63,49248.0,0.05000000074505806,0.44999998807907104,0.4000000059604645,0.10927674919366837
64,49249.0,0.05000000074505806,0.5,0.4000000059604645,0.10581447929143906
65,49250.0,0.05000000074505806,0.550000011920929,0.4000000059604645,0.11036567389965057
66,49252.0,0.05000000074505806,0.05000000074505806,0.3499999940395355,0.21919600665569305
